100 = [696, 700, 728, 722, 714, 728, 718, 716, 726, 678, 670, 684, 716, 720, 696, 728, 684, 706, 704, 712, 728, 714, 716, 696, 728, 712, 706, 726, 702, 720, 694, 698, 722, 726, 700, 680, 684, 712, 708, 712, 716, 700, 728, 728, 684, 706, 696, 728, 728, 706, 724, 718, 718, 728, 694, 710, 722, 728, 704, 684, 696, 704, 704, 708, 724, 702, 678, 710, 694, 724, 664, 688, 700, 726, 714, 698, 714, 696, 714, 664, 680, 722, 702, 702, 728, 728, 706, 724, 728, 712, 684, 716, 704, 716, 726, 668, 704, 694, 716, 718, 716, 700, 728, 702, 684, 704, 728, 670, 702, 728, 728, 728, 728, 698, 688, 666, 706, 710, 696, 728, 700, 722, 708, 650, 728, 684, 700, 700, 694, 654, 716, 664, 696, 672, 698, 678, 708, 684, 718, 716, 716, 670, 708, 728, 722, 702, 728, 676, 690, 726, 684, 728, 670, 710, 728, 720, 728, 712, 722, 728, 696, 710, 712, 700, 728, 716, 726, 696, 686, 728, 716, 692, 706, 694, 696, 728, 690, 678, 738, 714, 726, 696, 734, 684, 684, 694, 696, 700, 706, 686, 710, 728, 696, 718, 716, 708, 702, 670, 724, 728, 702, 696, 728, 670, 698, 690, 684, 720, 670, 720, 728, 720, 728, 684, 726, 668, 694, 708, 728, 712, 728, 700, 680, 714, 702, 728, 716, 706, 700, 708, 614, 716, 688, 668, 722, 688, 728, 676, 700, 702, 686, 714, 722, 720, 710, 724, 704, 720, 692, 696, 708, 712, 714, 704, 696, 718, 702, 714, 716, 700, 724, 708, 688, 694, 704, 690, 688, 706, 702, 728, 706, 676, 714, 728, 688, 692, 696, 634, 728, 702, 702, 726, 708, 712, 708, 692, 696, 728, 668, 698, 702, 720, 710, 706, 714, 728, 718, 696, 722, 724, 728, 688, 728, 718, 728, 694, 728, 720, 728, 704, 722, 700, 710, 722, 670, 694, 710, 726, 692, 728, 716, 720, 728, 694, 702, 724, 686, 728, 684, 704, 702, 702, 716, 712, 726, 704, 732, 690, 704, 724, 716, 698, 676, 700, 724, 722, 706, 724, 728, 668, 724, 710, 724, 694, 688, 656, 672, 694, 728, 702, 702, 686, 720, 680, 660, 728, 698, 724, 724, 698, 728, 718, 720, 728, 692, 712, 724, 688, 716, 716, 706, 696, 682, 696, 696, 648, 680, 718, 724, 728, 720, 702, 728, 718, 718, 714, 682, 684, 728, 650, 714, 714, 708, 700, 706, 722, 726, 682, 708, 708, 688, 716, 724, 708, 724, 694, 702, 702, 722, 706, 718, 640, 688, 722, 714, 694, 728, 678, 692, 692, 724, 710, 718, 718, 716, 688, 696, 726, 728, 692, 658, 712, 716, 724, 722, 682, 708, 708, 710, 684, 670, 728, 726, 694, 702, 736, 706, 692, 652, 728, 688, 634, 724, 728, 696, 714, 688, 712, 656, 696, 722, 706, 710, 678, 726, 696, 680, 726, 718, 712, 726, 720, 714, 728, 704, 710, 722, 684, 684, 684, 706, 728, 724, 732, 708, 702, 704, 698, 708, 708]
200 = [678, 710, 670, 694, 690, 702, 702, 702, 726, 688, 644, 696, 696, 720, 670, 722, 728, 694, 698, 686, 694, 704, 668, 716, 708, 716, 680, 710, 692, 698, 700, 694, 704, 664, 662, 700, 708, 694, 684, 656, 698, 728, 684, 704, 696, 680, 694, 678, 690, 692, 670, 720, 694, 690, 672, 704, 684, 700, 722, 690, 688, 678, 708, 716, 674, 670, 706, 690, 640, 688, 706, 696, 648, 718, 716, 692, 710, 676, 676, 682, 702, 660, 696, 702, 694, 722, 712, 698, 704, 696, 670, 728, 684, 696, 688, 696, 718, 678, 686, 704, 684, 688, 692, 694, 724, 704, 694, 684, 700, 714, 696, 708, 682, 708, 692, 700, 614, 690, 716, 646, 694, 704, 682, 684, 688, 706, 728, 660, 710, 664, 680, 694, 674, 724, 652, 702, 716, 702, 718, 714, 696, 698, 670, 688, 692, 708, 678, 668, 702, 694, 696, 690, 670, 678, 692, 728, 670, 710, 696, 700, 692, 650, 680, 698, 694, 722, 718, 678, 686, 696, 680, 698, 684, 650, 702, 694, 704, 690, 704, 668, 670, 686, 664, 710, 712, 704, 694, 714, 670, 648, 682, 696, 690, 704, 716, 710, 710, 714, 700, 676, 656, 694, 684, 696, 696, 722, 664, 682, 670, 696, 688, 714, 650, 724, 708, 696, 718, 684, 682, 684, 670, 684, 686, 674, 696, 710, 656, 694, 696, 682, 702, 724, 716, 694, 698, 696, 684, 698, 670, 700, 682, 692, 694, 672, 690, 708, 714, 696, 700, 712, 670, 690, 714, 672, 696, 724, 664, 702, 700, 702, 694, 694, 700, 688, 672, 684, 684, 656, 648, 696, 702, 716, 698, 714, 686, 700, 696, 694, 708, 690, 678, 698, 704, 672, 652, 684, 670, 702, 676, 688, 684, 678, 686, 678, 702, 700, 714, 680, 726, 708, 696, 708, 720, 688, 692, 658, 716, 676, 688, 716, 680, 692, 688, 680, 708, 694, 704, 698, 714, 710, 694, 676, 698, 724, 728, 684, 664, 724, 688, 684, 694, 720, 706, 696, 694, 714, 726, 698, 676, 680, 694, 694, 722, 684, 716, 680, 708, 710, 702, 704, 704, 702, 696, 684, 670, 704, 688, 658, 680, 728, 714, 686, 724, 694, 688, 696, 702, 708, 680, 648, 688, 676, 694, 704, 696, 688, 696, 684, 648, 676, 726, 680, 690, 710, 698, 684, 704, 710, 684, 724, 710, 716, 694, 724, 614, 686, 706, 664, 718, 682, 712, 696, 696, 644, 682, 682, 708, 688, 664, 722, 696, 712, 684, 716, 710, 670, 702, 692, 668, 682, 702, 720, 714, 694, 700, 688, 718, 716, 710, 696, 714, 694, 696, 722, 728, 694, 712, 664, 720, 692, 700, 678, 712, 670, 650, 710, 696, 704, 694, 662, 696, 688, 716, 700, 688, 694, 704, 720, 716, 680, 694, 682, 680, 704, 676, 656, 684, 694, 682, 702, 710, 712, 676, 696, 694, 698, 696, 680, 702, 716, 718, 710, 716, 706, 710, 682, 720, 706, 716, 670, 686, 660, 698, 724, 688, 700, 680, 688, 704, 728]
300 = [684, 712, 690, 690, 676, 672, 680, 712, 684, 682, 706, 694, 682, 676, 702, 718, 680, 686, 680, 718, 666, 690, 690, 710, 710, 688, 656, 678, 728, 698, 696, 694, 702, 670, 684, 670, 684, 672, 700, 684, 692, 692, 682, 668, 676, 686, 662, 694, 684, 698, 710, 694, 718, 680, 700, 682, 692, 702, 676, 708, 646, 704, 680, 682, 694, 690, 648, 654, 694, 696, 720, 696, 702, 614, 708, 680, 686, 678, 708, 724, 696, 684, 682, 686, 706, 692, 682, 702, 702, 706, 670, 680, 696, 664, 686, 696, 684, 668, 720, 692, 684, 696, 678, 694, 706, 696, 700, 686, 688, 702, 684, 710, 680, 710, 682, 660, 696, 688, 700, 682, 682, 682, 718, 688, 676, 696, 686, 698, 702, 708, 700, 702, 646, 696, 688, 682, 648, 680, 704, 686, 696, 696, 696, 692, 712, 682, 694, 688, 710, 674, 688, 682, 688, 688, 712, 692, 704, 654, 670, 702, 692, 684, 696, 664, 672, 674, 696, 662, 680, 720, 692, 684, 700, 718, 702, 714, 696, 704, 696, 722, 712, 692, 684, 648, 696, 672, 698, 700, 696, 696, 712, 716, 650, 686, 708, 670, 688, 662, 686, 696, 688, 650, 688, 640, 710, 684, 696, 684, 700, 692, 694, 680, 700, 724, 714, 694, 694, 694, 676, 680, 682, 686, 686, 664, 686, 710, 704, 670, 656, 706, 716, 682, 702, 694, 696, 690, 698, 692, 666, 704, 680, 684, 684, 720, 692, 700, 624, 706, 696, 722, 702, 684, 700, 698, 662, 684, 674, 716, 670, 716, 688, 720, 696, 688, 700, 700, 706, 702, 726, 684, 680, 698, 698, 714, 686, 696, 704, 672, 668, 698, 674, 686, 690, 670, 696, 702, 688, 682, 704, 688, 698, 704, 650, 684, 696, 694, 680, 696, 696, 682, 648, 664, 700, 690, 668, 664, 670, 706, 668, 666, 686, 680, 706, 634, 694, 694, 694, 668, 700, 714, 726, 680, 676, 702, 696, 696, 706, 684, 690, 688, 674, 624, 684, 674, 718, 694, 670, 718, 634, 684, 682, 716, 700, 704, 692, 692, 716, 712, 692, 640, 704, 658, 670, 696, 642, 710, 676, 714, 694, 670, 698, 710, 668, 676, 688, 696, 680, 684, 700, 672, 696, 684, 672, 640, 676, 670, 680, 694, 624, 692, 696, 628, 682, 704, 678, 686, 726, 648, 708, 684, 674, 726, 704, 696, 676, 696, 688, 692, 670, 706, 668, 688, 680, 688, 688, 688, 706, 696, 694, 722, 694, 688, 664, 680, 686, 672, 646, 688, 694, 694, 704, 704, 696, 664, 686, 694, 682, 726, 710, 686, 670, 708, 658, 692, 722, 696, 686, 690, 692, 688, 694, 672, 702, 682, 722, 704, 694, 712, 670, 690, 662, 690, 708, 684, 708, 710, 658, 680, 716, 670, 672, 700, 680, 714, 674, 656, 670, 692, 694, 704, 688, 668, 702, 696, 674, 716, 696, 694, 716, 690, 662, 692, 696, 692, 700, 706, 684, 694, 662, 654, 696, 680, 674, 696, 664, 654, 684, 696, 678, 684]
400 = [704, 680, 676, 704, 694, 656, 700, 692, 684, 710, 670, 686, 698, 688, 678, 696, 666, 710, 682, 692, 694, 662, 698, 704, 658, 696, 692, 666, 684, 708, 688, 614, 664, 694, 696, 648, 690, 684, 702, 696, 702, 668, 706, 690, 696, 680, 704, 684, 678, 712, 680, 704, 716, 670, 686, 672, 696, 692, 684, 680, 660, 660, 688, 684, 674, 714, 694, 682, 690, 678, 698, 666, 664, 690, 700, 696, 678, 714, 702, 660, 646, 664, 694, 650, 680, 696, 696, 676, 686, 692, 684, 684, 684, 688, 674, 690, 678, 688, 688, 674, 686, 712, 682, 694, 692, 698, 678, 670, 680, 680, 678, 688, 692, 686, 696, 670, 668, 712, 694, 676, 682, 700, 694, 648, 702, 706, 688, 670, 684, 694, 710, 684, 640, 678, 688, 700, 688, 662, 680, 684, 678, 674, 680, 674, 670, 662, 690, 680, 688, 676, 704, 680, 678, 678, 664, 664, 700, 708, 698, 662, 680, 714, 672, 694, 694, 682, 678, 694, 684, 696, 700, 694, 688, 672, 702, 654, 666, 688, 666, 670, 664, 684, 704, 682, 648, 692, 680, 688, 670, 698, 682, 664, 672, 702, 714, 684, 694, 684, 712, 680, 674, 684, 660, 694, 692, 680, 670, 702, 688, 680, 684, 664, 646, 698, 666, 648, 710, 650, 656, 688, 678, 688, 688, 672, 692, 696, 694, 700, 690, 696, 682, 688, 694, 696, 694, 694, 704, 682, 650, 698, 682, 688, 692, 696, 654, 682, 684, 704, 688, 710, 714, 696, 698, 690, 704, 692, 680, 670, 702, 688, 696, 682, 694, 700, 682, 670, 674, 696, 662, 694, 684, 668, 682, 696, 700, 676, 680, 694, 686, 684, 686, 698, 666, 694, 696, 684, 708, 702, 692, 696, 656, 630, 684, 706, 682, 696, 708, 684, 694, 684, 644, 694, 684, 692, 696, 700, 696, 684, 696, 688, 648, 696, 680, 656, 614, 680, 678, 686, 708, 620, 670, 708, 674, 676, 674, 684, 694, 696, 672, 688, 668, 686, 688, 710, 718, 712, 702, 652, 696, 714, 690, 670, 686, 692, 684, 722, 690, 692, 662, 660, 664, 672, 692, 678, 706, 678, 638, 696, 684, 686, 654, 682, 698, 672, 692, 688, 690, 656, 650, 688, 692, 700, 666, 694, 692, 684, 702, 692, 690, 694, 692, 696, 674, 668, 670, 694, 672, 672, 696, 702, 684, 704, 710, 694, 654, 686, 680, 678, 688, 700, 696, 670, 678, 714, 674, 668, 696, 704, 704, 682, 674, 696, 614, 678, 688, 676, 700, 694, 648, 682, 678, 698, 670, 698, 694, 698, 706, 680, 678, 696, 678, 656, 700, 670, 688, 680, 682, 690, 712, 688, 634, 680, 680, 692, 698, 696, 654, 688, 688, 672, 702, 692, 698, 688, 686, 686, 706, 652, 692, 684, 704, 678, 682, 696, 682, 696, 696, 660, 700, 704, 686, 670, 710, 652, 686, 674, 710, 660, 710, 648, 694, 688, 712, 688, 614, 682, 666, 638, 680, 648, 696, 684, 682, 694, 678, 694, 680, 684, 684, 670]
500 = [702, 690, 704, 682, 670, 694, 688, 688, 658, 684, 698, 684, 692, 664, 676, 682, 696, 696, 678, 704, 678, 706, 696, 682, 662, 700, 716, 678, 666, 680, 684, 706, 686, 670, 676, 648, 668, 670, 634, 684, 664, 668, 676, 674, 680, 692, 678, 708, 672, 648, 718, 688, 670, 688, 670, 666, 706, 676, 692, 636, 684, 672, 666, 684, 704, 684, 664, 648, 698, 698, 664, 686, 706, 688, 700, 684, 680, 680, 678, 702, 688, 684, 678, 696, 632, 696, 628, 680, 686, 668, 680, 656, 692, 676, 660, 676, 614, 642, 706, 656, 670, 686, 672, 610, 670, 706, 694, 682, 710, 682, 678, 656, 670, 700, 688, 642, 696, 672, 696, 688, 650, 668, 706, 694, 696, 684, 690, 694, 668, 704, 692, 702, 684, 696, 696, 680, 656, 670, 706, 688, 668, 654, 684, 614, 680, 660, 674, 694, 678, 684, 692, 692, 682, 680, 672, 652, 688, 650, 688, 710, 686, 672, 672, 688, 672, 684, 688, 670, 696, 698, 694, 688, 670, 664, 702, 694, 688, 690, 648, 648, 704, 702, 662, 696, 688, 644, 696, 690, 666, 694, 656, 668, 700, 672, 704, 680, 688, 694, 670, 694, 664, 682, 672, 680, 646, 676, 696, 688, 682, 644, 662, 694, 676, 684, 646, 684, 670, 688, 684, 660, 684, 670, 690, 676, 682, 688, 696, 658, 706, 680, 614, 704, 676, 670, 700, 688, 676, 702, 666, 682, 666, 702, 690, 686, 688, 706, 666, 696, 656, 628, 698, 668, 684, 660, 668, 704, 678, 614, 674, 666, 680, 648, 696, 686, 690, 692, 688, 688, 634, 684, 672, 680, 692, 688, 684, 658, 700, 688, 696, 670, 708, 656, 680, 694, 700, 688, 696, 688, 670, 694, 674, 648, 686, 648, 684, 664, 702, 676, 680, 684, 670, 684, 686, 686, 668, 690, 686, 670, 648, 672, 684, 684, 664, 668, 714, 704, 686, 694, 684, 654, 680, 674, 692, 686, 682, 686, 648, 680, 694, 688, 692, 686, 670, 676, 684, 670, 712, 658, 670, 696, 634, 696, 682, 652, 678, 686, 674, 682, 680, 682, 664, 672, 702, 702, 678, 684, 650, 654, 684, 700, 696, 680, 640, 692, 692, 668, 680, 682, 680, 684, 700, 706, 700, 674, 684, 674, 692, 696, 638, 674, 670, 700, 672, 684, 674, 692, 680, 682, 696, 704, 700, 664, 686, 702, 670, 694, 648, 676, 696, 646, 678, 670, 672, 666, 660, 694, 694, 692, 690, 666, 686, 702, 706, 676, 694, 684, 680, 674, 678, 690, 668, 688, 702, 696, 668, 678, 670, 678, 690, 664, 676, 704, 708, 692, 670, 682, 702, 680, 676, 640, 710, 684, 688, 656, 704, 694, 678, 676, 684, 706, 692, 700, 640, 682, 684, 672, 684, 680, 672, 676, 684, 692, 670, 680, 680, 644, 692, 662, 686, 640, 658, 724, 700, 696, 680, 672, 652, 678, 710, 660, 648, 688, 660, 674, 682, 684, 696, 704, 676, 686, 660, 646, 658, 682, 664, 686, 674, 690, 696, 694]
600 = [676, 694, 682, 636, 650, 664, 660, 666, 684, 668, 672, 694, 684, 680, 624, 668, 640, 684, 664, 680, 692, 694, 672, 666, 682, 666, 676, 658, 682, 696, 678, 690, 700, 684, 682, 702, 652, 682, 690, 670, 694, 686, 626, 636, 664, 670, 688, 700, 660, 668, 656, 682, 684, 662, 684, 678, 672, 708, 680, 680, 714, 690, 696, 650, 676, 672, 670, 672, 656, 658, 658, 682, 688, 700, 682, 628, 682, 680, 694, 682, 702, 676, 716, 694, 688, 652, 696, 682, 680, 654, 680, 672, 656, 658, 692, 682, 656, 680, 656, 678, 670, 696, 672, 676, 684, 648, 684, 662, 648, 698, 656, 688, 704, 688, 690, 682, 670, 688, 708, 678, 688, 686, 668, 684, 660, 666, 694, 692, 668, 658, 660, 650, 686, 670, 674, 676, 692, 690, 660, 682, 690, 670, 688, 680, 682, 708, 676, 664, 670, 688, 666, 684, 670, 670, 664, 692, 692, 676, 690, 698, 688, 650, 692, 680, 696, 680, 670, 676, 680, 614, 690, 680, 670, 688, 660, 684, 688, 704, 688, 714, 694, 688, 668, 674, 684, 662, 684, 684, 682, 648, 696, 682, 680, 688, 696, 700, 680, 670, 670, 696, 696, 684, 672, 670, 672, 692, 670, 696, 698, 676, 696, 688, 694, 684, 690, 682, 688, 678, 688, 674, 660, 634, 710, 684, 676, 690, 646, 644, 664, 680, 670, 700, 686, 648, 688, 664, 654, 666, 684, 668, 680, 694, 680, 676, 686, 686, 688, 708, 684, 670, 636, 672, 684, 696, 686, 700, 676, 696, 678, 688, 660, 686, 660, 674, 650, 684, 670, 706, 704, 670, 684, 684, 688, 666, 694, 684, 682, 668, 664, 676, 668, 650, 700, 688, 688, 640, 684, 684, 674, 690, 672, 680, 688, 712, 674, 664, 678, 682, 678, 700, 670, 686, 684, 658, 682, 640, 668, 670, 694, 678, 704, 668, 704, 714, 672, 676, 680, 670, 694, 684, 684, 692, 684, 684, 684, 694, 684, 662, 696, 698, 656, 678, 686, 678, 670, 678, 686, 680, 682, 646, 672, 680, 656, 676, 650, 692, 672, 682, 682, 698, 640, 694, 656, 636, 676, 682, 696, 660, 682, 656, 710, 670, 678, 692, 690, 698, 668, 692, 698, 674, 694, 670, 692, 664, 682, 672, 664, 672, 710, 682, 694, 616, 618, 676, 646, 652, 688, 652, 688, 670, 680, 698, 682, 662, 662, 700, 670, 688, 694, 624, 686, 698, 690, 672, 690, 656, 684, 670, 700, 682, 674, 688, 694, 686, 688, 670, 680, 664, 698, 664, 652, 692, 696, 684, 682, 694, 660, 684, 692, 672, 690, 686, 684, 660, 638, 694, 662, 700, 670, 660, 658, 694, 710, 700, 688, 680, 704, 680, 660, 696, 700, 696, 658, 680, 688, 674, 670, 670, 708, 662, 688, 666, 674, 656, 692, 694, 696, 690, 656, 694, 680, 680, 662, 664, 668, 676, 682, 698, 694, 648, 684, 688, 688, 696, 696, 650, 648, 694, 686, 676, 680, 682, 696, 684, 680, 690, 682, 694, 684, 694]
700 = [666, 684, 702, 672, 660, 680, 682, 670, 660, 654, 698, 680, 682, 686, 676, 674, 662, 702, 648, 682, 682, 694, 658, 666, 696, 696, 676, 668, 680, 694, 684, 684, 670, 670, 696, 648, 634, 692, 700, 684, 682, 666, 684, 656, 680, 660, 644, 688, 668, 650, 664, 686, 676, 682, 690, 684, 680, 664, 674, 678, 688, 670, 680, 684, 688, 696, 678, 694, 652, 646, 670, 696, 688, 638, 670, 670, 648, 664, 670, 684, 692, 668, 702, 674, 684, 668, 676, 668, 682, 648, 706, 676, 648, 640, 670, 684, 670, 700, 688, 680, 668, 696, 664, 702, 682, 662, 684, 684, 680, 690, 666, 668, 678, 684, 664, 688, 696, 644, 688, 670, 688, 678, 672, 670, 702, 682, 690, 634, 668, 642, 694, 662, 680, 628, 676, 684, 634, 682, 670, 678, 686, 650, 670, 670, 706, 676, 672, 670, 686, 682, 682, 680, 696, 678, 662, 680, 684, 650, 704, 692, 688, 690, 680, 670, 694, 676, 672, 680, 668, 686, 660, 682, 682, 684, 696, 624, 680, 664, 688, 696, 656, 694, 684, 676, 694, 676, 684, 700, 668, 696, 680, 682, 696, 664, 656, 668, 648, 682, 694, 658, 640, 634, 682, 668, 640, 670, 684, 704, 680, 672, 644, 656, 702, 648, 664, 694, 696, 694, 670, 696, 690, 648, 672, 674, 670, 650, 632, 686, 666, 680, 694, 684, 680, 632, 664, 672, 640, 674, 678, 660, 680, 648, 670, 688, 648, 682, 694, 684, 696, 684, 692, 658, 676, 676, 682, 674, 666, 692, 650, 692, 684, 690, 678, 676, 672, 666, 652, 676, 682, 686, 684, 658, 684, 674, 678, 650, 684, 684, 700, 684, 668, 704, 694, 680, 690, 638, 660, 646, 676, 692, 680, 700, 682, 686, 666, 710, 684, 686, 648, 678, 680, 670, 682, 648, 644, 670, 694, 688, 666, 694, 680, 696, 692, 686, 684, 684, 676, 662, 696, 634, 674, 678, 648, 632, 664, 688, 674, 684, 650, 636, 672, 680, 696, 666, 680, 672, 708, 692, 666, 660, 688, 714, 670, 670, 678, 648, 670, 688, 678, 664, 648, 684, 682, 688, 670, 684, 684, 658, 686, 680, 648, 670, 678, 682, 684, 646, 666, 670, 650, 688, 676, 688, 668, 666, 690, 670, 662, 704, 684, 664, 672, 672, 684, 686, 670, 680, 688, 676, 682, 694, 718, 684, 680, 676, 668, 682, 672, 670, 668, 664, 678, 684, 680, 654, 686, 684, 686, 684, 688, 678, 670, 684, 690, 676, 670, 650, 660, 668, 694, 682, 662, 670, 694, 670, 668, 690, 682, 666, 674, 684, 670, 670, 664, 672, 670, 684, 672, 632, 698, 678, 688, 670, 680, 662, 694, 688, 644, 656, 672, 692, 674, 696, 692, 682, 680, 670, 672, 688, 678, 676, 660, 678, 680, 664, 664, 682, 684, 676, 684, 688, 682, 688, 698, 676, 682, 636, 684, 636, 696, 688, 650, 680, 680, 662, 674, 694, 666, 696, 666, 710, 610, 656, 680, 676, 670, 682, 684, 684, 668, 680]
800 = [644, 684, 684, 644, 678, 678, 648, 672, 670, 670, 646, 680, 672, 676, 640, 662, 676, 678, 672, 688, 660, 652, 688, 680, 682, 704, 696, 678, 654, 674, 668, 692, 650, 670, 676, 626, 682, 672, 678, 666, 694, 662, 686, 688, 662, 634, 644, 696, 686, 688, 688, 668, 702, 670, 688, 690, 668, 672, 650, 678, 678, 670, 696, 668, 680, 656, 614, 694, 672, 682, 688, 692, 664, 674, 682, 634, 692, 676, 680, 692, 676, 684, 664, 660, 670, 672, 670, 654, 628, 680, 682, 672, 660, 670, 668, 660, 624, 684, 676, 684, 668, 676, 694, 656, 670, 692, 670, 668, 668, 684, 696, 664, 700, 650, 696, 656, 684, 678, 706, 694, 670, 688, 686, 676, 668, 684, 658, 692, 686, 678, 694, 684, 678, 698, 670, 652, 676, 692, 682, 660, 694, 676, 696, 668, 676, 658, 680, 670, 696, 670, 680, 674, 680, 662, 670, 688, 666, 654, 672, 668, 654, 672, 680, 678, 656, 678, 674, 696, 688, 672, 654, 688, 694, 666, 692, 694, 668, 682, 646, 670, 682, 654, 696, 676, 660, 670, 670, 670, 692, 688, 660, 680, 654, 674, 694, 662, 642, 676, 646, 682, 676, 688, 692, 680, 694, 670, 678, 678, 656, 670, 654, 702, 672, 670, 626, 684, 686, 694, 678, 674, 656, 652, 690, 644, 670, 678, 682, 668, 676, 674, 688, 674, 684, 648, 682, 660, 614, 684, 654, 682, 674, 684, 686, 650, 676, 684, 696, 680, 678, 664, 696, 684, 678, 688, 696, 660, 660, 672, 656, 674, 662, 670, 664, 688, 674, 682, 692, 686, 686, 696, 636, 694, 678, 662, 682, 648, 688, 678, 670, 672, 694, 640, 672, 688, 674, 674, 680, 660, 614, 688, 680, 668, 676, 692, 656, 658, 694, 672, 674, 664, 670, 656, 664, 704, 682, 694, 682, 674, 680, 680, 690, 652, 698, 664, 650, 624, 624, 668, 666, 666, 664, 678, 680, 684, 672, 680, 676, 670, 684, 640, 688, 642, 682, 650, 694, 692, 674, 696, 696, 694, 654, 686, 684, 614, 684, 684, 694, 696, 672, 696, 684, 670, 662, 652, 688, 676, 670, 676, 634, 682, 670, 658, 674, 694, 688, 684, 654, 696, 644, 664, 670, 668, 684, 690, 670, 684, 676, 660, 700, 662, 680, 686, 648, 664, 664, 668, 686, 684, 674, 650, 698, 684, 694, 670, 698, 672, 686, 648, 670, 698, 696, 668, 662, 676, 682, 668, 684, 696, 636, 666, 662, 652, 670, 614, 690, 684, 672, 676, 668, 678, 658, 674, 662, 656, 690, 680, 660, 698, 688, 682, 702, 676, 694, 660, 650, 668, 686, 674, 684, 684, 654, 684, 694, 692, 684, 684, 692, 686, 684, 668, 670, 680, 672, 702, 684, 682, 688, 672, 676, 676, 672, 656, 672, 656, 684, 662, 682, 682, 648, 656, 694, 678, 670, 692, 664, 670, 700, 682, 680, 684, 680, 684, 624, 684, 648, 686, 700, 678, 694, 682, 684, 670, 656, 664, 696, 676, 672, 678, 696, 668]
900 = [690, 672, 614, 690, 660, 684, 684, 676, 682, 698, 694, 660, 678, 684, 666, 668, 672, 690, 698, 684, 702, 668, 670, 678, 668, 694, 676, 684, 664, 670, 670, 682, 682, 680, 676, 670, 656, 686, 698, 690, 668, 672, 664, 664, 672, 650, 670, 644, 680, 684, 694, 686, 656, 672, 660, 664, 682, 682, 668, 670, 678, 684, 698, 688, 684, 694, 664, 684, 666, 672, 680, 650, 690, 628, 676, 686, 666, 670, 682, 672, 694, 666, 666, 694, 676, 682, 696, 662, 682, 672, 680, 648, 664, 688, 668, 668, 682, 674, 660, 682, 648, 690, 668, 688, 688, 700, 614, 688, 688, 694, 648, 688, 662, 706, 678, 660, 680, 682, 640, 688, 672, 652, 664, 674, 664, 688, 670, 678, 686, 688, 680, 682, 664, 688, 694, 702, 648, 682, 658, 664, 680, 662, 684, 654, 666, 646, 680, 670, 682, 644, 644, 656, 680, 670, 690, 670, 656, 676, 698, 670, 672, 672, 642, 650, 644, 684, 680, 652, 672, 656, 650, 694, 682, 676, 648, 684, 664, 656, 648, 690, 694, 692, 678, 686, 684, 672, 666, 686, 688, 622, 686, 626, 664, 670, 654, 656, 664, 670, 672, 692, 674, 696, 696, 678, 648, 648, 660, 688, 648, 688, 684, 670, 676, 668, 692, 640, 670, 670, 670, 668, 672, 694, 692, 676, 682, 670, 692, 668, 704, 668, 668, 682, 656, 696, 670, 682, 664, 670, 688, 684, 642, 648, 674, 678, 664, 706, 656, 676, 682, 664, 670, 650, 686, 664, 660, 680, 680, 666, 674, 670, 658, 674, 696, 666, 674, 672, 684, 684, 688, 654, 688, 682, 696, 676, 666, 640, 688, 652, 682, 710, 638, 640, 634, 686, 664, 688, 682, 690, 680, 670, 674, 664, 624, 686, 654, 628, 688, 654, 684, 676, 684, 664, 670, 692, 656, 682, 672, 676, 660, 698, 668, 648, 668, 684, 686, 634, 670, 656, 676, 672, 670, 648, 678, 682, 668, 694, 684, 688, 684, 688, 650, 684, 658, 656, 692, 678, 614, 678, 694, 658, 668, 680, 630, 614, 660, 682, 664, 648, 676, 682, 684, 676, 626, 680, 672, 654, 650, 692, 650, 688, 664, 670, 676, 648, 682, 662, 694, 662, 684, 670, 674, 642, 648, 668, 636, 660, 656, 696, 692, 660, 650, 676, 694, 668, 678, 652, 662, 684, 680, 644, 662, 680, 698, 652, 668, 676, 686, 676, 670, 644, 670, 688, 686, 670, 646, 694, 648, 694, 670, 696, 654, 674, 674, 684, 668, 678, 688, 680, 688, 688, 670, 660, 648, 674, 688, 672, 688, 648, 666, 674, 660, 692, 660, 652, 672, 662, 670, 670, 664, 614, 678, 634, 712, 676, 666, 646, 678, 670, 684, 688, 680, 670, 670, 684, 650, 670, 672, 662, 614, 686, 680, 648, 676, 684, 684, 702, 694, 642, 654, 682, 666, 666, 678, 686, 698, 686, 680, 668, 684, 668, 614, 684, 670, 672, 676, 686, 684, 668, 688, 670, 682, 684, 666, 682, 670, 682, 690, 686, 664, 648]
