100 = [688, 648, 692, 696, 676, 710, 698, 660, 694, 728, 708, 710, 706, 704, 660, 722, 696, 722, 666, 650, 674, 696, 700, 670, 698, 698, 702, 690, 672, 706, 666, 676, 702, 678, 698, 668, 642, 646, 688, 682, 708, 694, 698, 690, 712, 668, 706, 660, 706, 684, 680, 714, 692, 684, 704, 700, 650, 694, 686, 676, 678, 672, 726, 704, 694, 668, 658, 692, 696, 682, 694, 690, 718, 692, 704, 696, 716, 710, 704, 688, 696, 706, 694, 678, 684, 704, 650, 672, 698, 696, 666, 720, 674, 668, 672, 694, 670, 676, 668, 678]
200 = [704, 682, 706, 702, 694, 660, 676, 690, 680, 684, 686, 694, 660, 646, 674, 680, 668, 670, 652, 706, 674, 674, 702, 650, 678, 696, 692, 690, 686, 702, 696, 672, 678, 662, 670, 698, 712, 660, 652, 656, 716, 658, 692, 660, 706, 660, 684, 708, 688, 684, 670, 684, 694, 686, 692, 650, 684, 690, 660, 700, 688, 666, 690, 698, 688, 640, 692, 668, 688, 630, 692, 682, 684, 686, 646, 676, 638, 658, 616, 700, 686, 674, 668, 650, 676, 678, 662, 672, 668, 672, 672, 704, 712, 680, 686, 654, 696, 680, 674, 638]
300 = [688, 662, 670, 666, 652, 688, 682, 688, 664, 688, 676, 676, 696, 662, 682, 666, 690, 666, 678, 678, 688, 694, 676, 682, 672, 650, 666, 660, 710, 678, 700, 686, 674, 666, 706, 660, 684, 680, 686, 670, 684, 678, 680, 692, 682, 656, 658, 680, 666, 664, 690, 674, 684, 692, 634, 668, 684, 630, 688, 678, 666, 686, 658, 690, 692, 700, 670, 642, 688, 670, 658, 650, 652, 652, 682, 694, 668, 672, 686, 656, 660, 670, 676, 682, 682, 654, 682, 692, 670, 658, 686, 676, 670, 666, 682, 660, 674, 678, 672, 658]
400 = [676, 702, 658, 688, 698, 656, 666, 676, 692, 672, 642, 646, 692, 664, 684, 668, 666, 678, 676, 662, 662, 680, 656, 682, 670, 674, 660, 664, 688, 680, 670, 664, 668, 664, 668, 682, 674, 688, 688, 668, 666, 674, 674, 686, 694, 678, 668, 680, 650, 672, 634, 672, 682, 684, 688, 668, 680, 656, 646, 642, 674, 672, 676, 680, 690, 684, 670, 674, 648, 652, 662, 642, 668, 686, 674, 664, 666, 678, 670, 674, 686, 630, 678, 658, 684, 660, 654, 666, 646, 684, 686, 664, 682, 686, 688, 656, 684, 694, 674, 672]
500 = [664, 672, 660, 680, 650, 668, 672, 672, 672, 680, 694, 658, 666, 670, 680, 680, 688, 688, 658, 654, 634, 668, 662, 672, 612, 676, 690, 670, 692, 672, 666, 680, 668, 668, 670, 646, 680, 664, 680, 672, 694, 672, 674, 650, 672, 674, 690, 656, 652, 674, 670, 686, 652, 608, 686, 656, 682, 648, 670, 676, 678, 638, 690, 676, 684, 662, 626, 670, 668, 688, 658, 682, 642, 676, 668, 680, 684, 690, 674, 644, 666, 694, 670, 680, 676, 670, 664, 662, 676, 666, 650, 676, 638, 664, 678, 674, 674, 668, 684, 646]
600 = [674, 632, 676, 662, 650, 668, 680, 670, 676, 644, 652, 658, 678, 686, 674, 652, 654, 662, 690, 664, 658, 670, 666, 664, 670, 682, 652, 674, 680, 628, 642, 632, 670, 656, 652, 670, 638, 678, 666, 668, 682, 656, 642, 662, 644, 684, 658, 682, 646, 666, 676, 634, 664, 676, 666, 668, 654, 652, 644, 654, 678, 676, 642, 664, 688, 682, 682, 668, 668, 660, 662, 672, 682, 666, 652, 678, 670, 640, 650, 678, 672, 662, 648, 680, 686, 652, 672, 694, 650, 670, 662, 668, 662, 674, 658, 678, 656, 644, 648, 678]
700 = [680, 656, 668, 674, 672, 686, 684, 658, 670, 672, 668, 684, 674, 680, 670, 640, 660, 672, 674, 644, 666, 668, 660, 650, 668, 680, 632, 680, 672, 626, 662, 642, 662, 658, 662, 668, 680, 666, 678, 670, 680, 684, 686, 628, 644, 688, 682, 672, 682, 656, 678, 672, 654, 674, 672, 626, 672, 658, 656, 660, 666, 672, 664, 676, 658, 674, 676, 676, 652, 636, 684, 666, 658, 658, 660, 652, 648, 692, 642, 672, 686, 678, 668, 672, 668, 650, 640, 680, 682, 666, 654, 684, 664, 658, 682, 682, 682, 666, 682, 686]
800 = [662, 658, 660, 676, 656, 662, 648, 666, 680, 660, 666, 648, 658, 660, 684, 672, 676, 644, 666, 664, 646, 672, 658, 678, 684, 678, 664, 678, 654, 662, 670, 670, 674, 660, 664, 662, 664, 678, 678, 666, 654, 642, 690, 652, 676, 684, 674, 656, 598, 688, 654, 634, 656, 652, 674, 646, 632, 638, 660, 658, 670, 660, 672, 650, 668, 662, 648, 680, 674, 652, 654, 672, 660, 610, 680, 648, 668, 652, 672, 660, 676, 678, 638, 630, 684, 664, 660, 650, 664, 658, 664, 616, 668, 640, 662, 678, 678, 684, 672, 682]
900 = [666, 662, 662, 664, 652, 658, 650, 670, 658, 650, 658, 668, 662, 652, 676, 656, 652, 664, 682, 648, 670, 658, 672, 620, 640, 660, 680, 658, 666, 654, 668, 666, 640, 622, 648, 678, 658, 666, 654, 652, 640, 674, 672, 672, 670, 650, 650, 626, 658, 674, 662, 666, 678, 660, 640, 656, 652, 620, 650, 676, 642, 672, 648, 664, 666, 678, 650, 682, 662, 662, 684, 680, 638, 678, 686, 658, 676, 688, 690, 636, 678, 682, 670, 686, 632, 656, 644, 646, 660, 650, 680, 664, 654, 678, 676, 618, 656, 656, 664, 642]
